node_id,layer,osmid,x,y,node_type,name,properties,lines_list
metro_0,1,249823635,77.1316496,28.6527444,metro_station,Ramesh Nagar,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""limited"", ""elevator"": ""unknown"", ""real_data"": true}",['Unknown']
metro_1,1,252584508,77.3144992,28.6498106,metro_station,Anand Vihar,"{""line"": ""Unknown"", ""network"": ""Indian Railways"", ""operator"": ""Northern Railway"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Pink']
metro_2,1,268217229,77.1692817,28.6450127,metro_station,Patel Nagar,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Unknown']
metro_3,1,268381455,77.1071813,28.7208064,metro_station,Rithala,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Red']
metro_4,1,268381457,77.1988974,28.6667177,metro_station,Pratap Nagar,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Red']
metro_5,1,268381463,77.2074156,28.6664068,metro_station,Pul Bangash,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Red']
metro_6,1,268381477,77.2282488,28.6674493,metro_station,Kashmere Gate,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Violet']
metro_7,1,311963955,77.1405393,28.6980415,metro_station,Kohat Enclave,"{""line"": ""Unknown"", ""network"": ""Delhi Metro"", ""operator"": ""Delhi Metro Rail Corporation Limited"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Red']
metro_8,1,345195834,77.0856631,28.8464766,metro_station,Narela,"{""line"": ""Unknown"", ""network"": ""IR"", ""operator"": ""NR"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Unknown']
metro_9,1,345195841,77.1024832,28.8015786,metro_station,Holambi Kalan,"{""line"": ""Unknown"", ""network"": ""IR"", ""operator"": ""NR"", ""wheelchair"": ""nan"", ""elevator"": ""unknown"", ""real_data"": true}",['Unknown']
