osmid,x,y
58056528,77.1710004,28.5593895
60890393,77.1749531,28.580619
175610054,77.1931747,28.569235
246513647,77.1670798,28.5948392
249237060,77.216855,28.6744011
249237063,77.2179809,28.6791426
249237069,77.2247308,28.6770077
249237075,77.2255155,28.674425
249782331,77.2217092,28.631635
249782337,77.2195322,28.6306928
249782343,77.2175751,28.6318278
249782349,77.2176776,28.63394
249783257,77.2225404,28.6341977
249783291,77.2209174,28.6300832
249783293,77.2194853,28.6298938
249783302,77.2167421,28.6314291
249783308,77.2170406,28.6343031
249783313,77.2188663,28.6355861
249783316,77.2198833,28.6357191
249786848,77.2188628,28.6204248
249786894,77.2268125,28.6197235
249786895,77.2268773,28.6195601
249786899,77.2314813,28.6258484
249786900,77.2316293,28.6260271
249786902,77.2321199,28.6261047
249786916,77.2340546,28.6107005
249786918,77.2313754,28.6095354
249786921,77.2281653,28.6109165
249791141,77.240186,28.6128415
249791204,77.2122049,28.6137551
249791377,77.2303913,28.6095756
249791567,77.2127981,28.5543244
249791570,77.2111018,28.5516562
249791828,77.2079934,28.568032
249791830,77.2085336,28.5695174
249791841,77.212519,28.5833366
249791853,77.2291783,28.6102956
249791934,77.2094715,28.6190168
249823712,77.2436978,28.5934998
249823738,77.2439853,28.5929987
249823748,77.2435605,28.5928349
249823755,77.2410726,28.5928946
249823861,77.2323913,28.5599764
249823866,77.2365377,28.5590136
249823983,77.1758723,28.5557778
249824093,77.1279067,28.5671142
249824096,77.1272739,28.5675746
250075211,77.233915,28.6670781
250078355,77.2060532,28.5694201
250078357,77.2090352,28.5717114
250078364,77.1696783,28.5515724
250100192,77.2378051,28.5779984
250100198,77.238282,28.5780319
250100205,77.2389321,28.5780601
250100261,77.2381793,28.5746681
250100304,77.2391123,28.5727356
250100309,77.2389202,28.5786257
250100352,77.238938,28.5770904
250100358,77.2414152,28.5770861
250100363,77.2414664,28.5743432
250100364,77.238993,28.5743095
250100406,77.2384474,28.5742577
250100409,77.2412159,28.5727961
250100411,77.2399811,28.5705574
250102732,77.226007,28.5883743
250102735,77.2265602,28.5848469
250102742,77.2232305,28.5972676
250102756,77.2256191,28.5675882
266807256,77.191604,28.618953
266807274,77.1952377,28.6218325
266807277,77.1993889,28.6237136
266809747,77.1874331,28.6060281
267074512,77.2397295,28.5914241
267074522,77.2433284,28.5933516
267074523,77.2432871,28.59328
267074527,77.2434736,28.592863
267074553,77.2398676,28.5895315
267074559,77.240835,28.5874795
267074560,77.2408305,28.5873675
267074568,77.2460251,28.5898166
267074573,77.2461073,28.589853
267074576,77.247452,28.5889711
267074580,77.2477069,28.5891883
267074586,77.2467778,28.5887062
267074587,77.2466736,28.5886653
267075193,77.2317714,28.6160961
267075194,77.2312989,28.6166789
267075196,77.2276662,28.6130207
267075198,77.2249129,28.6099506
267075227,77.2346634,28.6140115
267075233,77.2251165,28.6166453
267193160,77.19098,28.6030931
267193232,77.1732201,28.5904599
267193233,77.1750225,28.5914954
267193236,77.1768719,28.5937317
267193237,77.177921,28.5956006
267193238,77.1820296,28.6007218
267193239,77.1836507,28.6001813
267193242,77.183535,28.5964748
267193245,77.1809162,28.5910941
267193248,77.1795032,28.591771
267193250,77.1787549,28.5924177
267193270,77.1808058,28.5900162
267193290,77.1865378,28.5966818
267193295,77.1807918,28.590416
267193307,77.1893085,28.5867939
267193347,77.1988316,28.5797443
267193355,77.1904958,28.5863858
267193361,77.1877209,28.5841246
267193383,77.1741939,28.5909826
267193390,77.177241,28.5899279
267193394,77.1791325,28.5913411
267196276,77.2184671,28.6134521
267196290,77.2120722,28.6172742
267196291,77.2121926,28.6173344
267196295,77.2126653,28.6171987
267196296,77.2127407,28.6169761
267196303,77.2119747,28.6168184
267196304,77.2119284,28.6170544
267196305,77.2137403,28.6176108
267196308,77.2139674,28.6168995
267196314,77.218738,28.6183027
267196319,77.222762,28.6164349
